Timestamp,pH,Turbidity_NTU,TDS_ppm,Temperature_C,Flow_Rate_Lmin,Water_Quality_Index
2024-01-15 06:00:00,7.2,0.8,144.0,22.7,1.9,93.0
2024-01-15 06:15:00,7.3,0.8,133.0,22.3,1.6,93.0
2024-01-15 06:30:00,7.3,0.7,137.0,22.4,2.3,93.0
2024-01-15 06:45:00,7.4,0.8,140.0,22.8,2.4,92.0
2024-01-15 07:00:00,7.4,1.0,140.0,23.2,2.8,91.0
2024-01-15 07:15:00,7.4,1.0,135.0,23.6,3.3,91.0
2024-01-15 07:30:00,7.4,1.1,136.0,23.3,4.0,91.0
2024-01-15 07:45:00,7.4,1.0,133.0,23.8,3.4,91.0
2024-01-15 08:00:00,7.4,1.1,145.0,24.1,4.6,90.0
2024-01-15 08:15:00,7.4,1.1,146.0,23.9,4.6,90.0
2024-01-15 08:30:00,7.5,1.0,146.0,24.1,4.7,90.0
2024-01-15 08:45:00,7.4,1.2,150.0,24.2,6.0,90.0
2024-01-15 09:00:00,7.3,1.2,139.0,24.5,5.8,90.0
2024-01-15 09:15:00,7.4,1.4,142.0,24.0,4.6,89.0
2024-01-15 09:30:00,7.4,1.4,147.0,24.4,7.1,89.0
2024-01-15 09:45:00,7.3,1.3,146.0,24.3,6.3,90.0
2024-01-15 10:00:00,7.2,1.4,146.0,24.4,6.6,90.0
2024-01-15 10:15:00,7.3,1.6,148.0,24.4,5.0,88.0
2024-01-15 10:30:00,7.3,1.2,144.0,24.1,6.9,90.0
2024-01-15 10:45:00,7.3,1.4,149.0,24.3,5.2,90.0
2024-01-15 11:00:00,7.3,1.3,145.0,24.5,6.8,90.0
2024-01-15 11:15:00,7.3,1.5,157.0,24.0,5.8,88.0
2024-01-15 11:30:00,7.4,1.4,147.0,24.0,4.3,89.0
2024-01-15 11:45:00,7.2,1.2,152.0,23.8,4.4,91.0
2024-01-15 12:00:00,7.2,1.6,156.0,24.5,13.0,88.0
2024-01-15 12:15:00,7.3,1.7,156.0,24.2,8.9,87.0
2024-01-15 12:30:00,7.2,1.9,157.0,25.0,11.7,87.0
2024-01-15 12:45:00,7.1,1.8,161.0,24.7,11.7,88.0
2024-01-15 13:00:00,7.2,2.1,160.0,25.1,9.4,86.0
2024-01-15 13:15:00,7.1,1.8,155.0,24.8,9.9,88.0
2024-01-15 13:30:00,7.1,2.1,172.0,25.0,12.1,86.0
2024-01-15 13:45:00,7.1,2.0,164.0,25.0,11.8,87.0
2024-01-15 14:00:00,7.1,2.0,156.0,24.7,5.3,88.0
2024-01-15 14:15:00,7.1,1.8,150.0,24.3,6.0,89.0
2024-01-15 14:30:00,7.1,1.6,158.0,24.1,6.9,89.0
2024-01-15 14:45:00,7.1,1.5,150.0,24.1,7.2,90.0
2024-01-15 15:00:00,7.1,1.8,159.0,23.9,7.9,89.0
2024-01-15 15:15:00,7.1,1.6,156.0,23.6,7.3,89.0
2024-01-15 15:30:00,7.0,1.5,145.0,23.7,6.6,90.0
2024-01-15 15:45:00,7.0,1.5,155.0,23.5,4.8,90.0
2024-01-15 16:00:00,7.1,1.4,160.0,23.9,7.7,90.0
2024-01-15 16:15:00,7.1,1.3,152.0,23.3,8.1,91.0
2024-01-15 16:30:00,7.0,1.7,150.0,23.3,6.4,89.0
2024-01-15 16:45:00,6.9,1.4,155.0,23.9,7.4,90.0
2024-01-15 17:00:00,6.9,1.5,152.0,23.9,9.7,90.0
2024-01-15 17:15:00,6.9,1.7,150.0,24.0,9.5,89.0
2024-01-15 17:30:00,6.9,1.8,157.0,24.3,10.6,89.0
2024-01-15 17:45:00,7.0,1.8,154.0,23.7,8.6,89.0
2024-01-15 18:00:00,6.8,2.1,156.0,24.5,11.9,86.0
2024-01-15 18:15:00,6.9,2.0,156.0,23.9,9.4,88.0
2024-01-15 18:30:00,6.9,2.0,164.0,24.4,11.5,87.0
2024-01-15 18:45:00,6.9,1.9,159.0,24.3,11.4,88.0
2024-01-15 19:00:00,6.8,1.7,155.0,24.1,6.4,88.0
2024-01-15 19:15:00,6.9,1.9,155.0,23.7,5.6,88.0
2024-01-15 19:30:00,6.9,1.6,160.0,23.6,4.6,90.0
2024-01-15 19:45:00,6.9,1.7,154.0,23.3,5.2,89.0
2024-01-15 20:00:00,6.9,1.4,140.0,23.3,3.6,91.0
2024-01-15 20:15:00,7.1,1.4,144.0,22.5,3.7,91.0
2024-01-15 20:30:00,7.0,1.3,147.0,22.8,3.9,92.0
2024-01-15 20:45:00,7.0,1.2,144.0,22.7,5.3,93.0
2024-01-15 21:00:00,7.0,1.2,141.0,22.5,3.5,93.0
2024-01-15 21:15:00,7.1,1.1,144.0,22.6,3.3,92.0
2024-01-15 21:30:00,7.1,1.2,144.0,22.4,3.4,92.0
2024-01-15 21:45:00,7.1,1.3,138.0,22.6,3.6,92.0
2024-01-15 22:00:00,7.1,1.1,133.0,22.4,0.7,93.0
2024-01-15 22:15:00,7.0,0.8,138.0,22.2,1.5,94.0
2024-01-15 22:30:00,7.2,0.9,139.0,22.4,1.1,93.0
2024-01-15 22:45:00,7.1,0.9,134.0,21.6,1.7,93.0
2024-01-15 23:00:00,7.2,0.8,126.0,21.8,1.4,94.0
2024-01-15 23:15:00,7.2,0.8,135.0,22.0,1.5,94.0
2024-01-15 23:30:00,7.1,0.8,139.0,22.5,0.9,94.0
2024-01-15 23:45:00,7.2,0.9,135.0,22.4,1.3,93.0
2024-01-16 00:00:00,7.3,0.7,130.0,22.0,0.7,94.0
2024-01-16 00:15:00,7.3,0.8,126.0,21.8,0.0,94.0
2024-01-16 00:30:00,7.3,0.5,131.0,22.4,0.7,95.0
2024-01-16 00:45:00,7.3,0.5,132.0,22.2,0.5,95.0
2024-01-16 01:00:00,7.4,0.5,131.0,22.2,0.1,94.0
2024-01-16 01:15:00,7.3,0.6,136.0,22.0,0.4,94.0
2024-01-16 01:30:00,7.3,0.5,126.0,22.2,0.3,95.0
2024-01-16 01:45:00,7.2,0.5,132.0,22.3,0.4,95.0
2024-01-16 02:00:00,7.3,0.6,129.0,22.1,1.0,94.0
2024-01-16 02:15:00,7.3,0.8,130.0,22.6,0.4,93.0
2024-01-16 02:30:00,7.3,0.6,137.0,21.9,0.2,94.0
2024-01-16 02:45:00,7.3,0.5,127.0,22.9,0.5,94.0
2024-01-16 03:00:00,7.3,0.6,141.0,22.8,0.3,93.0
2024-01-16 03:15:00,7.5,0.5,126.0,22.9,0.7,93.0
2024-01-16 03:30:00,7.4,0.6,130.0,22.6,0.2,94.0
2024-01-16 03:45:00,7.4,0.5,128.0,22.7,0.0,94.0
2024-01-16 04:00:00,7.5,0.5,132.0,22.8,0.1,93.0
2024-01-16 04:15:00,7.4,0.6,134.0,22.4,0.5,93.0
2024-01-16 04:30:00,7.4,0.5,132.0,22.2,0.3,94.0
2024-01-16 04:45:00,7.4,0.6,124.0,22.9,0.1,93.0
2024-01-16 05:00:00,7.4,0.5,129.0,23.1,0.6,94.0
2024-01-16 05:15:00,7.5,0.5,128.0,23.1,0.3,93.0
2024-01-16 05:30:00,7.5,0.6,133.0,23.4,0.4,93.0
2024-01-16 05:45:00,7.5,0.5,129.0,23.1,0.3,93.0
2024-01-16 06:00:00,7.3,0.7,132.0,23.4,2.4,93.0
2024-01-16 06:15:00,7.5,0.5,132.0,23.3,2.5,93.0
2024-01-16 06:30:00,7.5,0.8,138.0,23.4,1.6,92.0
2024-01-16 06:45:00,7.5,0.6,140.0,23.6,2.8,92.0
2024-01-16 07:00:00,7.5,0.9,135.0,23.8,3.7,91.0
2024-01-16 07:15:00,7.4,0.9,136.0,23.9,4.2,91.0
2024-01-16 07:30:00,7.5,0.9,137.0,23.7,3.8,91.0
2024-01-16 07:45:00,7.5,1.0,147.0,23.7,3.7,90.0
2024-01-16 08:00:00,7.4,1.1,137.0,23.4,4.8,90.0
2024-01-16 08:15:00,7.6,1.1,145.0,24.3,5.5,89.0
2024-01-16 08:30:00,7.4,1.0,138.0,24.7,5.6,91.0
2024-01-16 08:45:00,7.4,1.1,144.0,24.3,6.2,90.0
2024-01-16 09:00:00,7.3,1.2,149.0,24.2,6.0,90.0
2024-01-16 09:15:00,7.2,1.2,141.0,24.4,7.2,91.0
2024-01-16 09:30:00,7.3,1.3,146.0,24.0,4.9,90.0
2024-01-16 09:45:00,7.3,1.5,150.0,24.3,4.8,88.0
2024-01-16 10:00:00,7.3,1.3,142.0,24.2,4.1,90.0
2024-01-16 10:15:00,7.4,1.2,144.0,24.3,6.6,90.0
2024-01-16 10:30:00,7.4,1.0,138.0,23.9,5.4,91.0
2024-01-16 10:45:00,7.3,1.1,143.0,23.9,5.0,91.0
2024-01-16 11:00:00,7.3,1.2,145.0,24.0,3.9,90.0
2024-01-16 11:15:00,7.2,1.2,148.0,23.7,6.2,91.0
2024-01-16 11:30:00,7.3,1.1,146.0,24.0,4.7,90.0
2024-01-16 11:45:00,7.2,1.3,143.0,23.9,4.3,91.0
2024-01-16 12:00:00,7.2,1.3,154.0,23.7,10.3,90.0
2024-01-16 12:15:00,7.1,1.3,158.0,24.4,10.0,90.0
2024-01-16 12:30:00,7.2,1.7,154.0,25.0,12.4,88.0
2024-01-16 12:45:00,7.2,1.8,155.0,24.7,9.4,88.0
2024-01-16 13:00:00,7.0,1.9,164.0,24.8,8.7,88.0
2024-01-16 13:15:00,7.2,1.8,159.0,24.9,8.3,88.0
2024-01-16 13:30:00,7.1,1.9,157.0,23.9,8.8,88.0
2024-01-16 13:45:00,7.1,1.8,152.0,24.4,10.7,88.0
2024-01-16 14:00:00,7.1,1.6,164.0,24.3,7.2,89.0
